period,state,price,sales
2023-12-01,Minnesota,13.94,2081.81
2023-12-01,Michigan,18.55,2850.61
2023-12-01,Massachusetts,28.85,1603.03
2023-12-01,Maryland,17.46,2433.7
2023-12-01,Maine,28.04,419.59
2023-12-01,Georgia,12.79,5062.7
2023-12-01,Florida,15.26,9011.01
2023-12-01,District of Columbia,17.75,187.08
2023-12-01,Delaware,16.32,428.32
2023-12-01,Louisiana,11.4,2217.97
2023-12-01,Kentucky,12.21,2257.6
2023-12-01,Middle Atlantic,19.41,11513.21
2023-12-01,New England,27.51,4054.41
2023-12-01,Wyoming,11.21,294.12
2023-12-01,Wisconsin,16.48,1987.5
2023-12-01,West Virginia,13.37,1115.0
2023-12-01,Washington,11.0,3970.38
2023-12-01,Virginia,13.61,4237.24
2023-12-01,Connecticut,26.86,1158.56
2023-12-01,Colorado,14.15,1739.45
2023-12-01,California,29.11,6554.62
2023-12-01,Arkansas,11.61,1498.7
2023-12-01,Arizona,14.41,2403.66
2023-12-01,Alaska,24.7,211.11
2023-12-01,Alabama,14.13,2695.51
2023-12-01,Vermont,21.09,209.35
2023-12-01,Utah,10.86,937.12
2023-12-01,Texas,14.58,10743.56
2023-12-01,Tennessee,12.18,3502.21
2023-12-01,South Dakota,11.69,470.09
2023-12-01,South Carolina,13.61,2762.48
2023-12-01,Rhode Island,30.88,238.16
2023-12-01,Pennsylvania,17.53,4924.75
2023-12-01,Oregon,12.56,2006.72
2023-12-01,Oklahoma,10.99,1883.33
2023-12-01,Ohio,15.69,4382.83
2023-12-01,North Dakota,10.23,502.76
2023-12-01,North Carolina,13.22,5583.16
2023-12-01,New York,22.52,4300.17
2023-12-01,New Mexico,13.65,602.38
2023-12-01,New Jersey,17.59,2288.29
2023-12-01,New Hampshire,24.98,425.73
2023-12-01,Nevada,15.55,902.76
2023-12-01,U.S. Total,15.73,119052.48
2023-12-01,Pacific Noncontiguous,33.7,451.53
2023-12-01,Pacific Contiguous,20.72,12531.72
2023-12-01,Mountain,13.46,8460.54
2023-12-01,West South Central,13.46,16343.56
2023-12-01,East South Central,12.87,9877.3
2023-12-01,South Atlantic,14.24,30820.69
2023-12-01,West North Central,12.11,9405.96
2023-11-01,East South Central,13.53,7984.2
2023-11-01,Ohio,15.76,3701.46
2023-11-01,North Dakota,10.73,451.85
2023-11-01,North Carolina,13.63,4446.31
2023-11-01,New York,22.95,3614.03
2023-11-01,New Mexico,14.52,503.59
2023-11-01,New Jersey,17.53,1953.21
2023-11-01,New Hampshire,25.85,349.36
2023-11-01,Nevada,17.11,805.16
2023-11-01,Nebraska,11.36,727.58
2023-11-01,Washington,11.08,3295.6
2023-11-01,Virginia,13.99,3426.23
2023-11-01,Vermont,21.57,182.41
2023-11-01,Utah,11.03,794.94
2023-11-01,Texas,14.6,10014.85
2023-11-01,Tennessee,12.68,2790.22
2023-11-01,South Dakota,12.12,393.65
2023-11-01,South Carolina,14.11,2188.8
2023-11-01,Rhode Island,31.23,221.78
2023-11-01,Pennsylvania,18.12,4066.58
2023-11-01,Oregon,12.94,1718.21
2023-11-01,Oklahoma,12.08,1493.51
2023-11-01,Montana,12.61,461.3
2023-11-01,Missouri,12.19,2436.37
2023-11-01,Mississippi,13.65,1206.19
2023-11-01,Minnesota,14.36,1743.46
